,0 pers,1 pers,2 pers,3 pers,4 pers,5 pers
55_13,0.0,0.2777777777777778,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.2777777777777778
231_13,0.0,0.47368421052631576,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.05263157894736842
176_3,0.058823529411764705,0.058823529411764705,0.8823529411764706,0.0,0.0,0.0
299_6,0.0,0.4307692307692308,0.5692307692307692,0.0,0.0,0.0
265_15,0.09375,0.6875,0.09375,0.0625,0.0,0.0625
244_11,0.3125,0.6875,0.0,0.0,0.0,0.0
83_14,0.0,0.11764705882352941,0.8823529411764706,0.0,0.0,0.0
280_11,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
91_14,0.0,0.19047619047619047,0.7142857142857143,0.09523809523809523,0.0,0.0
13_2,0.0625,0.1875,0.75,0.0,0.0,0.0
113_11,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888
42_13,0.0,0.34615384615384615,0.46153846153846156,0.11538461538461539,0.07692307692307693,0.0
253_11,0.0,0.05,0.95,0.0,0.0,0.0
137_15,0.35714285714285715,0.0,0.14285714285714285,0.07142857142857142,0.0,0.42857142857142855
212_6,0.044444444444444446,0.24444444444444444,0.7111111111111111,0.0,0.0,0.0
213_15,0.16666666666666666,0.5833333333333334,0.0,0.0,0.16666666666666666,0.08333333333333333
270_13,0.0,0.05128205128205128,0.5384615384615384,0.20512820512820512,0.0,0.20512820512820512
67_3,0.0,0.4375,0.375,0.0625,0.125,0.0
139_11,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.0
282_6,0.0,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.0,0.0
196_5,0.16326530612244897,0.32653061224489793,0.4897959183673469,0.02040816326530612,0.0,0.0
24_4,0.0,0.48148148148148145,0.37037037037037035,0.0,0.14814814814814814,0.0
157_9,0.09090909090909091,0.6666666666666666,0.15151515151515152,0.09090909090909091,0.0,0.0
131_13,0.0,0.68,0.32,0.0,0.0,0.0
276_11,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0
233_13,0.0,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.4166666666666667
31_14,0.0,0.125,0.5416666666666666,0.2916666666666667,0.0,0.041666666666666664
262_11,0.0,0.041666666666666664,0.4583333333333333,0.08333333333333333,0.2916666666666667,0.125
108_3,0.0,0.25,0.75,0.0,0.0,0.0
14_15,0.13333333333333333,0.8666666666666667,0.0,0.0,0.0,0.0
117_9,0.05405405405405406,0.21621621621621623,0.6216216216216216,0.08108108108108109,0.02702702702702703,0.0
34_3,0.0,0.15789473684210525,0.8421052631578947,0.0,0.0,0.0
243_5,0.0,0.0,1.0,0.0,0.0,0.0
256_1,0.0,0.03125,0.96875,0.0,0.0,0.0
235_1,0.029411764705882353,0.6470588235294118,0.3235294117647059,0.0,0.0,0.0
93_8,0.037037037037037035,0.4074074074074074,0.5555555555555556,0.0,0.0,0.0
123_2,0.5625,0.4375,0.0,0.0,0.0,0.0
138_9,0.2631578947368421,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.0
62_8,0.2,0.32,0.2,0.04,0.12,0.12
215_13,0.0,0.35294117647058826,0.47058823529411764,0.0,0.058823529411764705,0.11764705882352941
258_10,0.0,0.3225806451612903,0.6129032258064516,0.06451612903225806,0.0,0.0
198_9,0.04,0.08,0.56,0.32,0.0,0.0
56_11,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0
19_13,0.0,0.12,0.28,0.16,0.24,0.2
15_13,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.6470588235294118
33_11,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0
205_9,0.0,0.0625,0.5,0.0625,0.1875,0.1875
102_8,0.10344827586206896,0.06896551724137931,0.7241379310344828,0.10344827586206896,0.0,0.0
74_4,0.0,0.17647058823529413,0.4117647058823529,0.4117647058823529,0.0,0.0
240_13,0.0,0.2692307692307692,0.38461538461538464,0.3076923076923077,0.038461538461538464,0.0
210_3,0.0,0.5161290322580645,0.4838709677419355,0.0,0.0,0.0
189_9,0.0,0.34615384615384615,0.09615384615384616,0.5576923076923077,0.0,0.0
219_10,0.0,0.8823529411764706,0.11764705882352941,0.0,0.0,0.0
184_15,0.42857142857142855,0.2857142857142857,0.23809523809523808,0.0,0.0,0.047619047619047616
263_10,0.05,0.4,0.55,0.0,0.0,0.0
73_6,0.08,0.48,0.2,0.16,0.04,0.04
183_11,0.0,1.0,0.0,0.0,0.0,0.0
281_13,0.0,0.11538461538461539,0.3076923076923077,0.07692307692307693,0.2692307692307692,0.23076923076923078
27_14,0.0,0.3,0.7,0.0,0.0,0.0
201_10,0.0,0.9117647058823529,0.08823529411764706,0.0,0.0,0.0
273_6,0.08695652173913043,0.17391304347826086,0.13043478260869565,0.30434782608695654,0.30434782608695654,0.0
100_1,0.11428571428571428,0.8285714285714286,0.05714285714285714,0.0,0.0,0.0
152_10,0.0,1.0,0.0,0.0,0.0,0.0
293_6,0.047619047619047616,0.38095238095238093,0.5714285714285714,0.0,0.0,0.0
285_2,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
126_13,0.125,0.0625,0.8125,0.0,0.0,0.0
271_14,0.0,0.65625,0.34375,0.0,0.0,0.0
118_13,0.0,0.025974025974025976,0.2077922077922078,0.38961038961038963,0.37662337662337664,0.0
