,0 face,1 face,2 faces,3 faces,4+ faces
100_1,100.0,0.0,0.0,0.0,0.0
101_7,63.2,28.9,5.3,2.6,0.0
102_8,96.5,3.5,0.0,0.0,0.0
103_13,94.4,5.6,0.0,0.0,0.0
104_6,57.2,40.4,2.4,0.0,0.0
105_14,100.0,0.0,0.0,0.0,0.0
106_2,86.0,14.0,0.0,0.0,0.0
107_7,100.0,0.0,0.0,0.0,0.0
108_3,37.5,62.5,0.0,0.0,0.0
109_13,53.8,19.2,26.9,0.0,0.0
10_15,79.3,20.7,0.0,0.0,0.0
110_2,100.0,0.0,0.0,0.0,0.0
111_10,81.2,18.8,0.0,0.0,0.0
112_8,96.6,3.4,0.0,0.0,0.0
113_11,82.4,17.6,0.0,0.0,0.0
114_12,65.5,34.5,0.0,0.0,0.0
115_14,96.8,3.2,0.0,0.0,0.0
116_15,62.9,37.1,0.0,0.0,0.0
117_9,87.7,11.0,1.4,0.0,0.0
118_13,58.2,18.3,23.5,0.0,0.0
119_8,83.3,16.7,0.0,0.0,0.0
11_2,28.1,71.9,0.0,0.0,0.0
120_7,63.6,13.6,22.7,0.0,0.0
121_13,37.0,55.6,7.4,0.0,0.0
122_2,100.0,0.0,0.0,0.0,0.0
123_2,100.0,0.0,0.0,0.0,0.0
124_13,20.2,52.8,27.0,0.0,0.0
125_2,93.5,6.5,0.0,0.0,0.0
126_13,81.2,15.6,3.1,0.0,0.0
127_9,61.8,38.2,0.0,0.0,0.0
128_5,39.0,61.0,0.0,0.0,0.0
129_5,9.8,90.2,0.0,0.0,0.0
12_13,70.4,25.9,3.7,0.0,0.0
130_14,86.5,13.5,0.0,0.0,0.0
131_13,34.7,65.3,0.0,0.0,0.0
132_3,64.7,35.3,0.0,0.0,0.0
133_3,51.9,26.6,19.0,2.5,0.0
134_2,56.9,41.4,1.7,0.0,0.0
135_2,61.5,33.3,5.1,0.0,0.0
136_5,100.0,0.0,0.0,0.0,0.0
137_15,100.0,0.0,0.0,0.0,0.0
138_9,100.0,0.0,0.0,0.0,0.0
139_11,38.1,28.6,33.3,0.0,0.0
13_2,100.0,0.0,0.0,0.0,0.0
140_15,100.0,0.0,0.0,0.0,0.0
141_14,42.9,57.1,0.0,0.0,0.0
142_15,83.9,16.1,0.0,0.0,0.0
143_9,66.7,33.3,0.0,0.0,0.0
144_11,53.3,46.7,0.0,0.0,0.0
145_3,78.4,21.6,0.0,0.0,0.0
146_12,98.4,1.6,0.0,0.0,0.0
147_1,76.9,23.1,0.0,0.0,0.0
148_4,40.7,59.3,0.0,0.0,0.0
149_11,80.0,20.0,0.0,0.0,0.0
