,env_br_per_min,scene_br_per_min
100_1,11.789473684210526,15.157894736842104
101_7,12.387096774193548,12.387096774193548
102_8,4.033613445378151,4.033613445378151
103_13,9.014084507042254,6.76056338028169
104_6,8.708272859216255,6.618287373004354
105_14,1.25,1.25
106_2,0.6703910614525139,0.6703910614525139
107_7,1.4414414414414414,2.8828828828828827
108_3,15.678391959798995,12.06030150753769
109_13,11.538461538461538,6.923076923076923
10_15,10.084033613445378,5.042016806722689
110_2,10.120481927710843,7.228915662650603
111_10,16.119402985074625,16.119402985074625
112_8,10.864197530864198,6.91358024691358
113_11,16.901408450704224,27.04225352112676
114_12,10.0,10.0
115_14,9.30232558139535,11.162790697674419
116_15,10.0,5.0
117_9,10.297029702970297,10.297029702970297
118_13,21.21112929623568,21.21112929623568
119_8,6.857142857142857,5.485714285714286
11_2,12.923076923076923,11.076923076923077
120_7,13.48314606741573,13.48314606741573
121_13,27.169811320754718,24.90566037735849
122_2,5.647058823529412,2.823529411764706
123_2,3.8095238095238093,3.8095238095238093
124_13,16.853932584269664,6.741573033707865
125_2,15.157894736842104,3.789473684210526
126_13,18.75,9.375
127_9,5.179856115107913,15.53956834532374
128_5,2.926829268292683,1.951219512195122
129_5,12.631578947368421,11.228070175438596
12_13,13.457943925233645,13.457943925233645
130_14,11.052631578947368,11.052631578947368
131_13,11.076923076923077,11.076923076923077
132_3,15.319148936170214,5.1063829787234045
133_3,15.272727272727273,13.818181818181818
134_2,3.983402489626556,2.987551867219917
135_2,18.11320754716981,7.547169811320755
136_5,8.75,1.25
137_15,17.2972972972973,8.64864864864865
138_9,3.096774193548387,3.096774193548387
139_11,8.470588235294118,11.294117647058824
13_2,3.7209302325581395,3.7209302325581395
140_15,10.212765957446809,5.1063829787234045
141_14,8.316831683168317,11.881188118811881
142_15,5.5813953488372094,5.5813953488372094
143_9,10.971428571428572,1.3714285714285714
144_11,7.68,6.72
145_3,15.584415584415584,15.584415584415584
146_12,16.48854961832061,14.65648854961832
147_1,13.416149068322982,19.37888198757764
148_4,23.783783783783782,14.054054054054054
149_11,5.76,3.84
14_15,5.806451612903226,1.935483870967742
150_15,6.371681415929204,6.371681415929204
151_13,25.11627906976744,25.11627906976744
152_10,8.0,1.6
153_11,4.067796610169491,6.101694915254237
154_1,18.285714285714285,9.142857142857142
155_6,2.608695652173913,2.608695652173913
156_11,12.0,7.2
157_9,8.029739776951672,5.353159851301116
158_2,2.6666666666666665,2.6666666666666665
159_12,16.283185840707965,14.15929203539823
15_13,19.70149253731343,19.70149253731343
160_9,12.054794520547945,10.95890410958904
161_3,10.297029702970297,3.9603960396039604
162_6,4.92843808338519,1.9415059116365898
163_4,15.737704918032787,13.114754098360656
164_3,4.562737642585551,1.8250950570342206
165_10,12.093023255813954,12.093023255813954
166_13,7.164179104477612,7.164179104477612
167_4,27.849829351535835,23.754266211604097
168_2,0.0,6.906474820143885
169_13,23.661971830985916,15.211267605633802
16_15,20.869565217391305,15.652173913043478
170_13,24.10041841004184,23.09623430962343
171_11,5.454545454545454,10.909090909090908
172_10,16.457142857142856,10.971428571428572
173_1,19.2,19.2
174_9,12.537313432835822,7.164179104477612
175_2,18.3206106870229,9.16030534351145
176_3,5.070422535211268,8.450704225352112
177_13,19.547511312217196,19.547511312217196
178_11,8.495575221238939,10.619469026548673
179_6,0.0,5.3097345132743365
17_9,0.0,13.636363636363637
180_4,20.0,20.0
181_13,17.528089887640448,17.528089887640448
182_7,7.533632286995516,8.609865470852018
183_11,3.4285714285714284,3.4285714285714284
184_15,14.035087719298245,9.824561403508772
185_10,11.136,8.448
186_2,0.0,12.857142857142858
187_11,4.102564102564102,4.102564102564102
188_12,8.571428571428571,10.0
189_9,7.323943661971831,3.943661971830986
18_6,8.51063829787234,7.659574468085107
190_10,12.225201072386058,12.225201072386058
191_4,22.054054054054053,21.405405405405407
192_4,23.414634146341463,31.21951219512195
193_9,3.1475409836065573,2.360655737704918
194_9,10.140845070422536,10.140845070422536
195_15,2.2857142857142856,2.2857142857142856
196_5,4.148148148148148,2.962962962962963
197_7,5.614035087719298,8.421052631578947
198_9,2.2966507177033493,2.2966507177033493
199_9,7.5,5.0
19_13,21.6,20.4
1_13,17.77777777777778,17.77777777777778
200_4,23.119266055045873,17.61467889908257
201_10,15.428571428571429,12.0
202_9,2.142857142857143,2.142857142857143
203_2,15.0,15.0
204_2,8.97196261682243,8.97196261682243
205_9,1.8461538461538463,1.8461538461538463
206_8,14.647887323943662,14.647887323943662
207_12,13.980582524271844,18.640776699029125
208_12,15.766423357664234,7.007299270072993
209_1,18.367346938775512,20.816326530612244
20_1,18.028169014084508,14.647887323943662
210_3,17.007874015748033,12.283464566929133
211_15,13.251533742331288,13.251533742331288
212_6,0.0,0.6521739130434783
213_15,14.4,7.2
214_14,4.743083003952569,4.743083003952569
215_13,25.454545454545453,25.454545454545453
216_2,2.2018348623853212,2.2018348623853212
217_2,20.48780487804878,20.48780487804878
218_10,9.142857142857142,9.142857142857142
219_10,3.5294117647058822,10.588235294117647
21_15,18.26086956521739,7.826086956521739
220_2,1.2698412698412698,1.2698412698412698
221_7,3.0508474576271185,4.067796610169491
222_15,13.779904306220097,8.038277511961722
223_11,7.024390243902439,2.341463414634146
224_15,6.976744186046512,2.7906976744186047
225_11,15.0,13.75
226_6,1.951219512195122,2.6016260162601625
227_3,11.5,6.5
228_9,8.391608391608392,8.391608391608392
229_1,15.513307984790874,15.513307984790874
22_3,0.0,6.605504587155964
230_4,25.43778801843318,19.907834101382488
231_13,24.0,24.0
232_13,22.62295081967213,19.672131147540984
233_13,27.936507936507937,27.936507936507937
234_8,11.586206896551724,11.586206896551724
235_1,3.380281690140845,3.380281690140845
236_15,11.428571428571429,5.714285714285714
237_14,1.4634146341463414,1.4634146341463414
238_13,15.483870967741936,15.483870967741936
239_6,2.1621621621621623,2.1621621621621623
23_9,2.2429906542056073,2.2429906542056073
240_13,24.23076923076923,17.307692307692307
241_14,7.671232876712328,6.575342465753424
242_14,6.486486486486487,3.2432432432432434
243_5,0.0,15.6
244_11,14.328358208955224,5.373134328358209
245_3,16.089385474860336,8.044692737430168
246_14,3.711340206185567,3.711340206185567
247_15,8.571428571428571,5.714285714285714
248_2,1.6551724137931034,1.6551724137931034
249_15,22.5,12.5
24_4,29.18918918918919,15.135135135135135
250_2,1.5286624203821657,10.700636942675159
251_2,17.454545454545453,21.818181818181817
252_11,16.0,9.333333333333334
253_11,11.925465838509316,10.434782608695652
254_12,12.857142857142858,12.857142857142858
255_10,8.930232558139535,3.9069767441860463
256_1,13.846153846153847,2.769230769230769
257_8,17.333333333333332,10.666666666666666
258_10,13.8996138996139,13.8996138996139
259_15,15.43859649122807,11.228070175438596
25_13,20.571428571428573,20.571428571428573
260_2,15.483870967741936,15.483870967741936
261_6,0.6857142857142857,4.114285714285714
262_11,11.020408163265307,11.020408163265307
263_10,10.306748466257668,10.306748466257668
264_2,0.0,7.5
265_15,17.97752808988764,5.393258426966292
266_2,3.75,1.875
267_15,14.436090225563909,9.022556390977444
268_4,20.210526315789473,12.631578947368421
269_11,6.635944700460829,12.165898617511521
26_15,22.857142857142858,20.0
270_13,21.53846153846154,12.307692307692308
271_14,0.0,5.517241379310345
272_11,5.538461538461538,5.538461538461538
273_6,10.212765957446809,6.382978723404255
274_9,11.125827814569536,6.357615894039735
275_5,3.5121951219512195,2.341463414634146
276_11,14.933333333333334,14.933333333333334
277_2,6.315789473684211,4.2105263157894735
278_14,14.492753623188406,4.63768115942029
279_11,10.434782608695652,8.944099378881987
27_14,0.0,3.037974683544304
280_11,9.863013698630137,9.863013698630137
281_13,23.300970873786408,23.300970873786408
282_6,5.274725274725275,7.912087912087912
283_14,1.5894039735099337,1.5894039735099337
284_6,0.0,0.995850622406639
285_2,9.72972972972973,3.2432432432432434
286_14,10.68825910931174,8.744939271255062
287_8,14.647887323943662,14.647887323943662
288_13,18.39721254355401,17.5609756097561
289_14,3.2653061224489797,4.8979591836734695
28_2,2.4615384615384617,2.4615384615384617
290_2,2.1621621621621623,2.1621621621621623
291_8,5.413533834586466,5.413533834586466
292_1,13.333333333333334,12.0
293_6,2.0869565217391304,0.6956521739130435
294_13,20.459016393442624,11.01639344262295
295_15,19.70149253731343,10.746268656716419
296_8,13.170731707317072,11.707317073170731
297_3,15.104895104895105,5.034965034965035
298_13,17.142857142857142,8.571428571428571
299_6,8.97196261682243,2.2429906542056073
29_12,15.145631067961165,11.650485436893204
2_4,5.555555555555555,1.1111111111111112
300_7,15.0,7.5
30_11,16.875,15.0
31_14,8.615384615384615,11.076923076923077
32_13,26.666666666666668,26.666666666666668
33_11,23.36283185840708,16.991150442477878
34_3,7.947019867549669,7.947019867549669
35_10,13.714285714285714,13.028571428571428
36_10,0.0,8.847926267281107
37_11,8.228571428571428,1.3714285714285714
38_4,22.69090909090909,13.090909090909092
39_1,16.44859813084112,14.205607476635514
3_5,2.727272727272727,13.636363636363637
40_13,21.818181818181817,24.242424242424242
41_2,0.0,14.426229508196721
42_13,24.466019417475728,15.145631067961165
43_11,8.98876404494382,4.49438202247191
44_12,14.801762114537445,1.0572687224669604
45_14,8.293736501079914,5.183585313174946
46_9,10.909090909090908,8.181818181818182
47_3,0.0,3.076923076923077
48_13,26.341463414634145,20.48780487804878
49_7,9.23076923076923,8.076923076923077
4_13,24.727272727272727,30.545454545454547
50_10,12.537313432835822,3.582089552238806
51_5,6.900958466453674,6.134185303514377
52_11,14.608695652173912,13.565217391304348
53_13,15.652173913043478,16.956521739130434
54_2,6.357615894039735,1.5894039735099337
55_13,21.818181818181817,21.818181818181817
56_11,4.855491329479769,4.855491329479769
57_6,0.0,7.017543859649122
58_6,5.660377358490566,3.3962264150943398
59_2,0.0,13.52112676056338
5_11,0.0,1.643835616438356
60_3,3.9669421487603307,15.867768595041323
61_4,25.0,22.0
62_8,11.881188118811881,17.821782178217823
63_2,0.0,7.68
64_10,0.0,10.334928229665072
65_11,7.361963190184049,5.889570552147239
66_9,7.826086956521739,7.826086956521739
67_3,20.787401574803148,17.007874015748033
68_3,16.044568245125348,8.022284122562674
69_2,10.46979865771812,12.885906040268456
6_3,4.102564102564102,2.051282051282051
70_15,11.076923076923077,7.384615384615385
71_7,0.0,1.7518248175182483
72_2,9.968051118210862,3.8338658146964857
73_6,6.889952153110048,5.741626794258373
74_4,26.08695652173913,26.08695652173913
75_6,1.0730253353204173,0.7153502235469449
76_11,0.0,2.4
77_11,5.833333333333333,2.5
78_9,5.289256198347108,3.9669421487603307
79_8,1.7391304347826086,1.7391304347826086
7_1,12.075471698113208,9.056603773584905
80_9,2.1621621621621623,2.1621621621621623
81_15,11.01639344262295,5.508196721311475
82_11,12.307692307692308,8.205128205128204
