,env_br_per_min,scene_br_per_min,seq_per min
121_13,27.2,27.2,9.1
29_12,15.1,11.7,7.0
41_2,0.0,15.7,3.9
5_11,0.0,3.3,3.3
137_15,17.3,10.8,8.6
54_2,6.4,3.2,3.2
196_5,4.1,3.6,1.8
92_4,23.3,18.9,5.6
113_11,16.9,30.4,23.7
283_14,1.6,3.2,3.2
249_15,22.5,15.0,15.0
256_1,13.8,3.7,3.7
293_6,2.1,1.4,1.4
269_11,6.6,13.3,3.3
282_6,5.3,9.2,5.3
120_7,13.5,16.2,10.8
273_6,10.2,7.7,5.1
195_15,2.3,2.3,2.3
51_5,6.1,6.1,1.5
212_6,0.0,1.3,0.7
75_6,1.1,1.1,1.1
67_3,20.8,17.0,7.6
9_1,12.6,11.8,2.4
88_11,8.4,10.5,8.4
82_11,12.3,10.3,6.2
197_7,5.6,11.2,8.4
43_11,8.1,5.4,4.5
66_9,7.8,9.1,3.9
94_2,2.5,7.5,7.5
219_10,3.5,12.4,5.3
80_9,2.2,4.3,4.3
285_2,9.7,6.5,6.5
55_13,21.8,23.5,8.4
48_13,26.3,23.4,14.6
106_2,0.7,1.3,1.3
166_13,7.2,10.7,7.2
44_12,14.8,1.1,1.1
192_4,23.4,33.2,7.8
84_4,25.8,28.4,20.6
193_9,3.1,2.4,1.6
42_13,24.5,17.5,3.5
4_13,24.7,32.0,13.1
8_3,21.2,10.6,4.2
164_3,4.6,2.7,1.8
65_11,7.4,7.4,7.4
11_2,12.9,12.9,3.7
27_14,0.0,6.1,6.1
254_12,12.9,12.9,12.9
151_13,25.1,26.5,12.6
56_11,4.9,4.9,3.5
112_8,10.9,7.9,4.9
105_14,1.2,1.2,1.2
78_9,4.6,4.6,2.6
100_1,11.8,16.0,2.5
271_14,0.0,6.4,1.8
107_7,1.4,3.6,2.9
201_10,15.4,12.0,2.6
47_3,0.0,6.2,6.2
210_3,17.0,13.2,5.7
265_15,18.0,6.3,5.4
123_2,3.8,5.7,5.7
200_4,23.1,17.6,3.3
208_12,15.8,8.8,3.5
247_15,8.6,8.6,8.6
266_2,3.8,1.9,1.9
15_13,19.7,21.5,7.2
90_15,10.0,6.7,3.3
122_2,5.6,2.8,2.8
52_11,14.6,14.6,4.2
244_11,14.3,7.2,5.4
253_11,11.9,11.9,4.5
132_3,15.3,6.8,3.4
143_9,11.0,2.7,2.7
228_9,8.4,10.1,3.4
295_15,19.7,12.5,7.2
70_15,11.1,9.2,7.4
218_10,9.1,11.4,4.6
127_9,5.2,17.3,17.3
37_11,8.2,1.4,1.4
238_13,15.5,18.1,10.3
34_3,7.9,7.9,4.8
257_8,17.3,12.0,4.0
248_2,1.7,3.3,3.3
46_9,10.9,10.9,8.2
259_15,15.4,12.6,8.4
182_7,7.5,9.7,8.6
118_13,21.2,21.6,2.7
38_4,22.7,14.0,1.7
157_9,8.0,6.2,3.6
108_3,15.7,13.3,4.8
50_10,12.5,5.4,3.6
206_8,14.6,15.8,4.5
239_6,2.2,4.3,2.2
275_5,3.5,3.5,2.3
36_10,0.0,10.0,2.2
175_2,18.3,11.0,9.2
178_11,8.5,17.0,12.7
168_2,0.0,8.6,8.6
179_6,0.0,6.4,3.2
204_2,9.0,9.0,9.0
190_10,12.2,12.9,3.2
234_8,11.6,13.2,3.3
89_2,5.4,5.4,1.8
79_8,1.7,3.5,3.5
3_5,2.7,16.4,16.4
117_9,10.3,11.1,4.8
146_12,16.5,14.7,8.2
215_13,25.5,27.3,7.3
216_2,2.2,2.2,2.2
300_7,15.0,9.0,4.5
180_4,20.0,21.3,4.0
19_13,21.6,21.6,6.0
10_15,10.1,6.1,5.0
242_14,6.5,4.9,4.9
69_2,10.5,13.7,4.0
76_11,0.0,4.8,4.8
160_9,12.1,12.1,6.6
205_9,1.8,3.7,3.7
20_1,18.0,15.8,3.4
104_6,8.7,7.0,1.0
202_9,2.1,4.3,4.3
189_9,7.3,4.5,1.1
186_2,0.0,13.7,13.7
185_10,11.1,8.8,0.8
278_14,14.5,4.6,1.2
109_13,11.5,9.2,9.2
114_12,10.0,12.0,8.0
24_4,29.2,16.2,2.2
167_4,27.8,25.4,4.1
211_15,13.3,13.3,7.4
62_8,11.9,19.0,1.2
74_4,26.1,27.8,10.4
176_3,5.1,11.8,10.1
188_12,7.1,11.4,8.6
268_4,20.2,13.9,7.6
199_9,7.5,6.2,2.5
141_14,8.3,13.1,2.4
72_2,10.0,4.6,1.5
53_13,15.7,17.0,9.1
194_9,10.1,11.3,3.4
172_10,16.5,11.7,1.4
23_9,2.2,3.4,2.2
291_8,5.4,7.2,7.2
161_3,10.3,4.8,1.6
91_14,5.5,6.9,2.7
101_7,12.4,13.9,6.2
59_2,0.0,16.9,16.9
207_12,11.7,16.3,16.3
299_6,9.0,2.7,1.8
290_2,2.2,4.3,4.3
86_14,4.7,4.7,4.7
288_13,18.4,18.4,6.7
49_7,9.2,8.1,6.9
77_11,5.8,3.3,2.5
276_11,14.9,16.0,5.3
272_11,5.5,7.4,5.5
255_10,10.0,6.1,1.7
220_2,1.3,1.3,1.3
28_2,2.5,3.7,2.5
289_14,3.3,6.5,6.5
165_10,12.1,13.0,5.6
64_10,0.0,11.5,8.0
130_14,11.1,12.6,6.3
85_6,2.6,23.2,23.2
235_1,3.4,4.2,2.5
115_14,9.3,13.0,7.4
294_13,20.5,11.0,2.4
18_6,7.7,8.5,2.6
135_2,18.1,9.1,3.0
280_11,9.9,9.9,9.9
173_1,19.2,21.1,9.6
155_6,2.6,3.9,3.9
131_13,11.1,12.3,8.6
233_13,27.9,29.2,5.1
231_13,24.0,24.0,9.6
145_3,15.6,17.1,7.8
241_14,7.7,7.7,2.2
236_15,11.4,6.7,6.7
170_13,24.1,24.1,2.0
292_1,13.3,13.3,2.7
181_13,17.5,18.9,4.0
140_15,10.2,7.7,7.7
159_12,16.3,14.2,4.2
144_11,7.7,7.7,4.8
261_6,0.7,4.8,1.4
279_11,10.4,10.4,6.0
