,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
100_1,11.8,16.0,2.5,7.4,100.0,0.0,0.0,0.0,0.0,11.4,82.9,5.7,0.0,0.0,0.0
101_7,12.4,13.9,6.2,25.0,63.2,28.9,5.3,2.6,0.0,0.0,5.3,47.4,31.6,15.8,0.0
102_8,4.0,5.0,4.0,16.1,96.5,3.5,0.0,0.0,0.0,10.3,6.9,72.4,10.3,0.0,0.0
103_13,9.0,7.9,4.5,11.4,94.4,5.6,0.0,0.0,0.0,40.7,59.3,0.0,0.0,0.0,0.0
104_6,8.7,7.0,1.0,31.6,57.2,40.4,2.4,0.0,0.0,1.2,38.6,51.8,7.2,1.2,0.0
105_14,1.2,1.2,1.2,22.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
106_2,0.7,1.3,1.3,17.1,86.0,14.0,0.0,0.0,0.0,0.0,27.9,72.1,0.0,0.0,0.0
107_7,1.4,3.6,2.9,12.1,100.0,0.0,0.0,0.0,0.0,0.0,12.5,87.5,0.0,0.0,0.0
108_3,15.7,13.3,4.8,19.6,37.5,62.5,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0
109_13,11.5,9.2,9.2,25.4,53.8,19.2,26.9,0.0,0.0,15.4,0.0,84.6,0.0,0.0,0.0
10_15,10.1,6.1,5.0,28.5,79.3,20.7,0.0,0.0,0.0,34.5,65.5,0.0,0.0,0.0,0.0
110_2,10.1,8.7,5.8,19.0,100.0,0.0,0.0,0.0,0.0,25.0,40.0,35.0,0.0,0.0,0.0
111_10,16.1,17.9,3.6,49.3,81.2,18.8,0.0,0.0,0.0,0.0,68.8,18.8,6.2,6.2,0.0
112_8,10.9,7.9,4.9,21.2,96.6,3.4,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0
113_11,16.9,30.4,23.7,33.5,82.4,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,88.9
114_12,10.0,12.0,8.0,31.8,65.5,34.5,0.0,0.0,0.0,6.7,46.7,46.7,0.0,0.0,0.0
115_14,9.3,13.0,7.4,15.5,96.8,3.2,0.0,0.0,0.0,0.0,31.2,62.5,6.2,0.0,0.0
