,	,code_doc,il08_09,vg04_05,fd03_04,la09_10,cg13_14,ja05_06,fj11_12,ec20_11,mb00_12
5,,57_6_100_1,,,,,,,1.3594983120374513,,1.5117966575868182
6,,57_6_110_1,2.3556607264990297,1.0035772375842282,,,,,,,
7,,57_6_111_1,,,,1.019386354317139,,,,,
8,,57_6_101_1,,,,,1.9676368808247944,,,,
9,,57_6_001_1,,,1.815096524105045,,,1.85812355134863,,1.6074164304121645,
35,,88_11_100_1,,,,,,,,0.5355456293371276,
36,,88_11_110_1,,,,0.9556022252074204,,,1.1008821177890817,,0.603562728943727
37,,88_11_111_1,,,,,-0.0673588324679654,1.1107106447165285,,,
38,,88_11_101_1,,,-0.5040300450513198,,,,,,
39,,88_11_001_1,0.21271500525382384,0.5631776519422131,,,,,,,
45,,51_5_100_1,,,,,,1.0039373723405138,,,
46,,51_5_110_1,,,0.8982325316478775,,1.654560617241293,,,,
47,,51_5_111_1,,0.8567773757035566,,,,,,0.4926707972941261,
48,,51_5_101_1,0.32854990910491605,,,,,,,,
49,,51_5_001_1,,,,1.4020911289754505,,,1.2301902149132664,,0.5581510325115724
55,,147_1_100_1,,,,,,,1.1008821177890817,,0.9668563004009634
56,,147_1_110_1,1.6606513033924766,0.7833774447632208,,,,,,,
57,,147_1_111_1,,,,0.1264085467810788,,,,,
58,,147_1_101_1,,,,,-0.48479385057930074,,,,
59,,147_1_001_1,,,0.3589007713789555,,,1.3242571894685573,,0.6212952934231305,
135,,210_3_100_1,0.6181371687326466,,-0.288297340943751,,,,,,
136,,210_3_110_1,,,,,,-0.8823904396357426,,-0.2790761794799005,
138,,210_3_101_1,,0.7099775138228849,,0.5728974505491089,,,-1.2913176790083356,,0.7852095146723451
139,,210_3_001_1,,,,,1.3414843536577914,,,,
155,,253_11_100_1,,,,,,,-0.25685290201485783,,-0.2138478068350552
156,,253_11_110_1,-0.36645951400163723,-0.1708216574611453,,,,,,,
157,,253_11_111_1,,,,-0.5114327443161071,,,,,
158,,253_11_101_1,,,,,-0.17171758699579923,,,,
159,,253_11_001_1,,,-0.827629101212673,,,0.007386830164378353,,1.0071687818101438,
185,,274_9_100_1,,1.0035772375842282,,1.019386354317139,2.38507189893613,,,,
187,,274_9_111_1,1.5448163995413844,,2.1386955802663983,,,,1.1978631906322204,,-0.3954945925636734
188,,274_9_101_1,,,,,,0.6836175552124703,,0.36404630116512166,
195,,13_2_100_1,0.32854990910491605,,0.8982325316478775,,,,,,
196,,13_2_110_1,,,,,,0.07856901174838803,,0.7927946215951365,
198,,13_2_101_1,,0.7099775138228849,,0.7642498378782647,,,1.0685550935080357,,0.694386121808036
199,,13_2_001_1,,,,,1.2893049763938744,,,,
215,,72_2_100_1,,,,,,,1.0685550935080357,,1.2847381754260454
216,,72_2_110_1,-0.5402118697782755,0.8934773411737246,,,,,,,
217,,72_2_111_1,,,,0.5728974505491089,,,,,
218,,72_2_101_1,,,,,1.9154575035608776,,,,
219,,72_2_001_1,,,0.7364330035672009,,,0.9327551907565041,,0.7070449575091335,
225,,173_1_100_1,,,,,,-0.8823904396357426,,,
226,,173_1_110_1,,,-1.097294981347134,,0.03699992205986845,,,,
227,,173_1_111_1,,-0.24422158840148117,,,,,,-2.1655687893719655,
228,,173_1_101_1,-0.0768722543739067,,,,,,,,
229,,173_1_001_1,,,,-0.4476486152063885,,,-1.6469149460998436,,-1.6216103962318467
255,,272_11_100_1,,,,,,-0.9179815304277474,,,
256,,272_11_110_1,,,0.6824998275403087,,1.2893049763938744,,,,
257,,272_11_111_1,,0.5631776519422131,,,,,,-0.5363251717379093,
258,,272_11_101_1,-0.5402118697782755,,,,,,,,
259,,272_11_001_1,,,,-0.3838644860966699,,,-0.25685290201485783,,0.24026915748649041
300,,65_11_100_1,,0.8567773757035566,,0.38154506321995313,0.40225556290728687,,,,
302,,65_11_111_1,0.6760546206581927,,-1.366960861481595,,,,0.8745929478217586,,-0.07761271753859152
303,,65_11_101_1,,,,,,-1.1671191659717812,,0.021047644821109865,
360,,239_6_100_1,,,,,,0.07856901174838803,,,
361,,239_6_110_1,,,0.08923489124449445,,-0.954408245954553,,,,
362,,239_6_111_1,,0.19617799724053395,,,,,,-0.7935741639959182,
363,,239_6_101_1,-0.1347897062994528,,,,,,,,
364,,239_6_001_1,,,,-0.4476486152063885,,,0.09874436507665016,,-1.4399636105032283
375,,190_10_100_1,,0.23287796271070188,,0.8280339669879833,-0.17171758699579923,,,,
377,,190_10_111_1,-0.36645951400163723,,-0.5040300450513198,,,,-1.4529528004135666,,0.7852095146723451
378,,190_10_101_1,,,,,,-1.3450746199318055,,0.9214191177241409,
380,,19_13_100_1,,0.4530777555317094,,1.2745228707560134,-1.1109463777463038,,,,
382,,19_13_111_1,-0.5402118697782755,,1.275764763836123,,,,0.4866686564492043,,-0.30467119969936435
383,,19_13_101_1,,,,,,0.7192086460044751,,-0.10757685130789456,
385,,107_7_100_1,,0.7099775138228849,,0.8280339669879833,0.08917929932378536,,,,
387,,107_7_111_1,-0.5402118697782755,,-0.23436416491685877,,,,0.16339841363874252,,0.14944576462218132
388,,107_7_101_1,,,,,,-0.9535726212197523,,0.23542180503611726,
415,,231_13_100_1,,,,,,,0.6159767535733891,,1.3301498718581999
416,,231_13_110_1,1.0235593322114693,0.8934773411737246,,,,,,,
417,,231_13_111_1,,,,1.1469546125365762,,,,,
418,,231_13_101_1,,,,,0.9240493355464561,,,,
419,,231_13_001_1,,,-1.1512281573740262,,,-1.0603458935957668,,-0.19332651539389753,
440,,211_15_100_1,-1.1193863890337366,,-1.2590945094278105,,,,,,
